iter	RMSE
0	108865827.1
1	107814440.3
2	106753451.1
3	105532143.9
4	104466003.2
5	103564429.4
6	102532122.7
7	101737246.9
8	100925802.8
9	99921693.87
10	99151192.4
11	98118638.45
12	97386168.2
13	96315965.59
14	95438470.02
15	94832582.64
16	93853422.04
17	92868851.55
18	92212993.15
19	91290607.28
20	90460538.65
21	89899516.9
22	89349264.09
23	88640676.28
24	88160730.16
25	87350615.71
26	86955938.21
27	86268359.57
28	85538701.91
29	84782003.97
30	83993842.68
31	83390060.01
32	83024503.8
33	82419720.56
34	82061244.77
35	81497087.03
36	80924652.77
37	80334902.46
38	79712484.58
39	79174580.94
40	78608294.73
41	77999841.41
42	77594492.02
43	77052873.92
44	76424699.5
45	75995042.69
46	75490708.27
47	75096083.34
48	74629539.24
49	74267766.5
50	73838143.67
51	73549398.38
52	73039938.96
53	72627157.44
54	72179867.49
55	71740253.64
56	71312722.43
57	71009555.19
58	70677099.71
59	70274595.15
60	69974754.85
61	69676121.15
62	69374096.55
63	69123189.03
64	68649446.2
65	68191582.69
66	67928255.15
67	67673695.07
68	67354342.27
69	67034228.95
70	66690671.54
71	66444691.77
72	66195113.48
73	65907171.78
74	65747082.25
75	65507883.97
76	65187141.5
77	64906127.91
78	64712672.6
79	64532870.48
80	64213273.56
81	63951579.07
82	63733845.36
83	63394606.45
84	63004015.71
85	62778488.46
86	62529915.7
87	62284906.57
88	61931679.46
89	61700661.49
90	61508399.19
91	61273216.17
92	61020849.1
93	60767973.92
94	60554135.68
95	60316276.68
96	60262955.78
97	60022508.77
98	59934952.46
99	59729082.08
100	59466010.65
101	59443945.93
102	59255179.83
103	59129680.8
104	58953673.18
105	58771480.92
106	58559870.61
107	58304682.01
108	58104830.41
109	57827201.82
110	57612961.96
111	57412384.72
112	57391528.97
113	57256646.26
114	57095966.65
115	56870628.99
116	56693589.26
117	56481111.95
118	56290682.46
119	56128303.52
120	56001852.35
121	55854773.82
122	55656472.01
123	55570683.52
124	55493499.06
125	55404827.95
126	55313653.28
127	55120770.53
128	55003908.7
129	54885117.25
130	54750163.29
131	54571326.52
132	54316455.2
133	54144191.62
134	54008836.64
135	53803177.08
136	53551690
137	53419198.58
138	53247551.98
139	53117512.64
140	53009870.89
141	52847350.68
142	52817751.98
143	52728331.05
144	52600726.35
145	52426627.8
146	52242002.04
147	52111011.16
148	51927638.94
149	51700006.6
150	51575673.55
151	51432774.5
152	51339024.38
153	51278239.47
154	51114423.75
155	50927943.45
156	50803514.48
157	50713813.97
158	50545540.31
159	50345398.01
160	50169313.86
161	50015222.06
162	49889396.91
163	49704984.83
164	49517367.94
165	49463321.34
166	49337652.23
167	49217410.01
168	49106747.31
169	49064851.71
170	48966342.77
171	48908432.53
172	48870508.84
173	48716806.68
174	48511728.05
175	48424766.18
176	48317405.71
177	48210843.8
178	48077238.23
179	48033109.69
180	47938612.07
181	47857008.04
182	47770722.48
183	47587903.42
184	47465396.76
185	47432544.93
186	47316669.59
187	47132424.63
188	46961230.48
189	46810853.25
190	46780414.72
191	46581036.38
192	46513538.01
193	46479190.97
194	46388034.37
195	46190685.65
196	46101125.38
197	45964958.68
198	45738263.63
199	45607114.02
200	45564415.6
201	45463533.61
202	45378535.42
203	45324619.12
204	45298536.25
205	45104648.89
206	44912646.71
207	44873843.78
208	44803013.52
209	44763068.1
210	44691775.17
211	44658112.34
212	44631022.29
213	44605309.68
214	44443909.6
215	44365664.03
216	44250140.75
217	44089867.93
218	44063376.49
219	43950154.91
220	43922363.98
221	43888101.83
222	43823361.76
223	43683975.14
224	43658229.97
225	43548327.98
226	43516967.31
227	43399430.37
228	43367236.7
229	43296344.71
230	43181754.38
231	43158870.08
232	43078822.48
233	42904393.89
234	42873479.43
235	42823973.12
236	42803064.5
237	42728275.81
238	42705930.12
239	42573240.28
240	42547461.2
241	42526836.43
242	42486423.48
243	42445596.93
244	42406151.33
245	42327594.96
246	42307384.12
247	42287536.72
248	42209002.05
