iter	Passed	Remaining
0	46	46720
1	47	23586
2	47	15829
3	47	11945
4	48	9622
5	48	8075
6	49	6960
7	49	6116
8	49	5462
9	49	4936
10	50	4507
11	50	4149
12	50	3845
13	50	3585
14	51	3360
15	51	3163
16	51	2989
17	51	2835
18	52	2696
19	52	2571
20	52	2459
21	53	2356
22	53	2263
23	53	2177
24	53	2099
25	54	2026
26	54	1958
27	54	1896
28	54	1838
29	55	1783
30	55	1732
31	55	1682
32	55	1637
33	56	1594
34	56	1554
35	56	1517
36	56	1481
37	57	1448
38	57	1416
39	57	1385
40	58	1356
41	58	1328
42	58	1302
43	58	1277
44	59	1253
45	59	1230
46	59	1207
47	59	1186
48	60	1165
49	60	1146
50	60	1127
51	60	1109
52	61	1092
53	61	1076
54	61	1060
55	61	1043
56	62	1028
57	62	1014
58	62	1000
59	63	987
60	63	974
61	63	962
62	63	950
63	64	938
64	64	927
65	64	916
66	65	905
67	65	894
68	65	884
69	65	874
70	66	864
71	66	854
72	66	845
73	66	835
74	66	824
75	67	816
76	67	807
77	67	799
78	67	791
79	68	784
80	68	776
81	68	769
82	68	761
83	69	754
84	69	747
85	69	741
86	69	734
87	70	728
88	70	722
89	70	715
90	71	709
91	71	703
92	71	698
93	71	692
94	72	687
95	72	681
96	72	675
97	72	670
98	73	664
99	73	659
100	73	654
101	73	648
102	73	643
103	74	638
104	74	634
105	74	630
106	74	625
107	75	621
108	75	617
109	75	612
110	75	608
111	76	604
112	76	599
113	76	595
114	77	592
115	77	588
116	77	585
117	77	581
118	78	577
119	78	574
120	78	570
121	78	567
122	79	564
123	79	560
124	79	557
125	79	554
126	80	551
127	80	548
128	80	545
129	81	542
130	81	539
131	81	536
132	81	533
133	82	530
134	82	527
135	82	524
136	82	522
137	83	519
138	83	516
139	83	513
140	83	511
141	84	508
142	84	505
143	84	502
144	84	500
145	85	497
146	85	495
147	85	492
148	85	490
149	86	488
150	86	486
151	86	483
152	86	481
153	87	479
154	87	476
155	87	474
156	87	472
157	88	470
158	88	468
159	88	466
160	89	464
161	89	462
162	89	459
163	89	457
164	90	455
165	90	453
166	90	451
167	90	449
168	91	448
169	91	446
170	91	444
171	91	442
172	92	441
173	92	439
174	92	437
175	93	435
176	93	434
177	93	432
178	93	430
179	94	428
180	94	426
181	94	424
182	94	423
183	95	421
184	95	419
185	95	418
186	95	416
187	96	415
188	96	413
189	96	412
190	96	410
191	97	408
192	97	407
193	97	405
194	97	404
195	98	402
196	98	401
197	98	399
198	98	398
199	99	396
200	99	395
201	99	394
202	100	392
203	100	391
204	100	389
205	100	388
206	100	386
207	101	385
208	101	384
209	101	383
210	102	381
211	102	380
212	102	379
213	102	377
214	103	376
215	103	374
216	103	373
217	103	372
218	104	371
219	104	369
220	104	368
221	104	367
222	105	366
223	105	364
224	105	363
225	105	362
226	106	361
227	106	360
228	106	358
229	106	357
230	107	356
231	107	355
232	107	354
233	107	353
234	108	352
235	108	350
236	108	349
237	109	349
238	109	347
239	109	346
240	109	346
241	110	345
242	110	344
243	110	342
244	110	341
245	111	340
246	111	340
247	111	338
248	112	337
249	112	336
250	112	335
251	112	334
252	113	333
253	113	332
254	113	331
255	113	330
256	114	329
257	114	328
258	114	327
259	114	326
260	115	326
261	115	325
262	115	324
263	115	323
264	116	322
265	116	321
266	116	320
267	116	319
268	117	318
269	117	317
270	117	316
271	118	315
272	118	314
273	118	314
274	118	313
275	119	312
276	119	311
277	119	310
278	119	309
279	120	308
280	120	308
281	120	307
282	120	306
283	121	305
284	121	304
285	121	303
286	121	302
287	122	302
288	122	301
289	122	300
290	123	299
291	123	298
292	123	298
293	123	297
294	124	296
295	124	295
296	124	295
297	124	294
298	125	293
299	125	292
300	125	291
301	125	291
302	126	290
303	126	289
